country,continent,year,population,births,deaths
Afghanistan,Asia,1960,8622473,434057,275239
Afghanistan,Asia,1990,10694804,567256,203514
Afghanistan,Asia,2020,38972236,1402265,276683
Albania,Europe,1960,1711189,69920,28400
Albania,Europe,1990,3295073,81074,18349
Albania,Europe,2020,2866850,29535,30970
Algeria,Africa,1960,11394309,556593,271718
Algeria,Africa,1990,25518074,785136,146283
Algeria,Africa,2020,43451668,974703,234547
American Samoa,Oceania,1960,20107,838,133
American Samoa,Oceania,1990,47841,1755,235
American Samoa,Oceania,2020,46216,809,310
Andorra,Europe,1960,9473,181,65
Andorra,Europe,1990,53590,602,289
Andorra,Europe,2020,77723,591,699
Angola,Africa,1960,5357201,274530,143432
Angola,Africa,1990,11828643,606245,259679
Angola,Africa,2020,33428490,1312910,261489
Anguilla,North America,1960,5773,240,83
Anguilla,North America,1990,8340,148,70
Anguilla,North America,2020,15612,151,99
Antigua and Barbuda,North America,1960,55356,1935,531
Antigua and Barbuda,North America,1990,63346,1337,490
Antigua and Barbuda,North America,2020,92672,1127,552
Argentina,South America,1960,20349748,483766,179885
Argentina,South America,1990,32637658,717716,252741
Argentina,South America,2020,45036030,635978,383131
Armenia,Asia,1960,1904150,77424,23160
Armenia,Asia,1990,3556544,86145,26756
Armenia,Asia,2020,2805610,35016,35963
Aruba,North America,1960,54627,1850,360
Aruba,North America,1990,65734,1218,463
Aruba,North America,2020,106597,863,1032
Australia,Oceania,1960,10286648,227494,88303
Australia,Oceania,1990,17048002,261015,118778
Australia,Oceania,2020,25670052,296417,162601
Austria,Europe,1960,7046554,126311,89658
Austria,Europe,1990,7678732,89858,82940
Austria,Europe,2020,8907780,83345,90324
Azerbaijan,Asia,1960,4131486,197518,61699
Azerbaijan,Asia,1990,7427840,211224,71512
Azerbaijan,Asia,2020,10284952,131920,110160
Bahamas,North America,1960,114512,4150,947
Bahamas,North America,1990,270690,6525,1584
Bahamas,North America,2020,406478,4670,3283
Bahrain,Asia,1960,160702,7503,2573
Bahrain,Asia,1990,517429,14092,1651
Bahrain,Asia,2020,1477478,18949,3362
Bangladesh,Asia,1960,50396428,2492613,1069699
Bangladesh,Asia,1990,107147656,3749741,1257445
Bangladesh,Asia,2020,167420940,3022909,973853
Barbados,North America,1960,232560,7184,2222
Barbados,North America,1990,258871,4054,2518
Barbados,North America,2020,280704,3048,2519
Belarus,Europe,1960,8389186,205048,65165
Belarus,Europe,1990,10428527,148091,117128
Belarus,Europe,2020,9633745,91163,159349
Belgium,Europe,1960,9108729,154789,114030
Belgium,Europe,1990,9959565,123472,104342
Belgium,Europe,2020,11561716,114894,127440
Belize,North America,1960,91420,4114,1131
Belize,North America,1990,182603,6708,1020
Belize,North America,2020,394931,7060,2071
Benin,Africa,1960,2512290,113419,71600
Benin,Africa,1990,5133429,232933,75736
Benin,Africa,2020,12643121,469278,118400
Bermuda,North America,1960,42048,1079,349
Bermuda,North America,1990,57490,875,423
Bermuda,North America,2020,64051,517,591
Bhutan,Asia,1960,221277,10725,6577
Bhutan,Asia,1990,558449,20674,6452
Bhutan,Asia,2020,772512,9770,5055
Bolivia,South America,1960,3707520,164555,85203
Bolivia,South America,1990,7096195,254743,84760
Bolivia,South America,2020,11936169,263322,111027
Bonaire Sint Eustatius and Saba,South America,1960,7699,205,96
Bonaire Sint Eustatius and Saba,South America,1990,12630,233,114
Bonaire Sint Eustatius and Saba,South America,2020,26178,284,239
Bosnia and Herzegovina,Europe,1960,3262540,105766,31164
Bosnia and Herzegovina,Europe,1990,4494314,67178,33240
Bosnia and Herzegovina,Europe,2020,3318410,28685,46952
Botswana,Africa,1960,512874,24256,8638
Botswana,Africa,1990,1341480,46010,10697
Botswana,Africa,2020,2546404,61583,17690
Brazil,South America,1960,73092520,3205265,1024950
Brazil,South America,1990,150706450,3743708,1078578
Brazil,South America,2020,213196300,2787294,1581430
British Virgin Islands,North America,1960,7871,256,99
British Virgin Islands,North America,1990,15646,237,76
British Virgin Islands,North America,2020,30934,229,196
Brunei,Asia,1960,85361,3723,986
Brunei,Asia,1990,261936,7432,1010
Brunei,Asia,2020,441736,6259,2198
Bulgaria,Europe,1960,7891763,143100,64188
